ENSDARG00000077720	CABZ01062422.1
ENSDARG00000088249	CABZ01062423.1
ENSDARG00000091668	U1
ENSDARG00000087478	U1
ENSDARG00000090984	U1
ENSDARG00000089386	U1
ENSDARG00000086701	U1
ENSDARG00000091070	U1
ENSDARG00000089911	U1
ENSDARG00000091837	U1
ENSDARG00000088719	U1
ENSDARG00000091323	U1
ENSDARG00000088648	U1
ENSDARG00000086675	U1
ENSDARG00000086110	U1
ENSDARG00000086560	U1
ENSDARG00000091850	U1
ENSDARG00000089351	U1
ENSDARG00000089431	U1
ENSDARG00000089748	U1
ENSDARG00000087884	U1
ENSDARG00000090483	U1
ENSDARG00000088361	U1
ENSDARG00000087305	U1
ENSDARG00000087405	U1
ENSDARG00000088566	U1
ENSDARG00000088386	U1
ENSDARG00000088534	U1
ENSDARG00000086263	U1
ENSDARG00000089714	U1
ENSDARG00000090584	U1
ENSDARG00000090430	U1
ENSDARG00000090058	U1
ENSDARG00000088855	U1
ENSDARG00000089926	U1
ENSDARG00000090339	U1
ENSDARG00000086533	U1
ENSDARG00000086757	U1
ENSDARG00000088416	U1
ENSDARG00000091594	U1
ENSDARG00000088815	U1
ENSDARG00000082065	5S_rRNA
ENSDARG00000091010	AL929029.1
ENSDARG00000083859	U6
ENSDARG00000087656	U6
ENSDARG00000091577	U6
ENSDARG00000088163	U6
ENSDARG00000091435	U6
ENSDARG00000090256	U6
ENSDARG00000089425	U6
ENSDARG00000086570	U6
ENSDARG00000091703	U6
ENSDARG00000090677	U6
ENSDARG00000091485	U6
ENSDARG00000091414	U6
ENSDARG00000086506	U6
ENSDARG00000086562	U6
ENSDARG00000088360	U6
ENSDARG00000089792	U6
ENSDARG00000087731	U6
ENSDARG00000087638	U6
ENSDARG00000090324	U6
ENSDARG00000089283	U6
ENSDARG00000087150	U6
ENSDARG00000083115	U1
ENSDARG00000088205	U1
ENSDARG00000088384	U1
ENSDARG00000089028	U1
ENSDARG00000091300	U1
ENSDARG00000089447	U1
ENSDARG00000091820	U1
ENSDARG00000088173	U1
ENSDARG00000089843	U1
ENSDARG00000086901	U1
ENSDARG00000089773	U1
ENSDARG00000090242	U1
ENSDARG00000086090	U1
ENSDARG00000086602	U1
ENSDARG00000086442	U1
ENSDARG00000088530	U1
ENSDARG00000087132	U1
ENSDARG00000087072	U1
ENSDARG00000086754	U1
ENSDARG00000087487	U1
ENSDARG00000091653	U1
ENSDARG00000090681	U1
ENSDARG00000090034	U1
ENSDARG00000090334	U1
ENSDARG00000089528	U1
ENSDARG00000091175	U1
ENSDARG00000088721	U1
ENSDARG00000086765	U1
ENSDARG00000082034	5S_rRNA
ENSDARG00000084923	5S_rRNA
ENSDARG00000010378	CTRL (2 of 3)
ENSDARG00000004148	aplp1
ENSDARG00000060754	CU915738.1
ENSDARG00000019473	kirrel3l
ENSDARG00000085770	5S_rRNA
ENSDARG00000088476	BX000442.2
ENSDARG00000074542	BX000442.1
ENSDARG00000075841	BX293993.1
ENSDARG00000093720	BX293993.2
ENSDARG00000088279	BX537144.1
ENSDARG00000087721	BX004873.1
ENSDARG00000089173	BX004873.2
ENSDARG00000089391	BX004873.3
ENSDARG00000092828	BX004873.4
ENSDARG00000043280	ccbl2
ENSDARG00000094766	CCBL2 (4 of 4)
ENSDARG00000036707	PKN2 (1 of 2)
ENSDARG00000084243	5S_rRNA
ENSDARG00000054974	CR388087.1
ENSDARG00000090269	5S_rRNA
ENSDARG00000093898	BX005376.2
ENSDARG00000090745	BX005376.1
ENSDARG00000091505	BX005448.1
ENSDARG00000090296	SI:DKEY-78K22.2
ENSDARG00000073693	SI:DKEY-78K22.2
